,precision,recall,f1-score,support
0,0.932018212714043,0.8505691137730503,0.8894328972603808,100595.0
1,0.7073170731707317,0.7771181001283697,0.7405764966740577,12464.0
2,0.7044234952864394,0.7847794474066893,0.7424335065729134,6189.0
3,0.8083570437604346,0.8127718933232457,0.8105584570222699,42296.0
4,0.7566771647102131,0.8164165931156222,0.785412553864442,22660.0
5,0.8855651131938204,0.9430772035365965,0.9134167604670154,21942.0
6,0.7055701550986757,0.8150595238095238,0.7563730770293039,16800.0
7,0.4190715181932246,0.5208983156581409,0.4644694757335558,3206.0
8,0.08333333333333333,0.11666666666666667,0.09722222222222222,60.0
accuracy,0.8357027920711545,0.8357027920711545,0.8357027920711545,0.8357027920711545
macro avg,0.6669259010512127,0.7152618730464338,0.6888772718717956,226212.0
weighted avg,0.8439066663227669,0.8357027920711545,0.8382534013235818,226212.0
